                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.1585,                 0.8815,                 1.0763,                0.86384,                0.82353,                0.89706,                0.55478,                 1.4195,                 1.4325,                 1.3781,              0.0010463,              0.0010463,              0.0010463
                     76,                 1.0502,                0.84274,                 1.0943,                0.85713,                0.85294,                 0.9162,                0.55223,                 1.4406,                  1.332,                 1.4346,              0.0010545,              0.0010545,              0.0010545
                     77,                 1.0971,                0.87246,                 1.0883,                0.85713,                0.85294,                 0.9162,                0.55223,                 1.4406,                  1.332,                 1.4346,              0.0010625,              0.0010625,              0.0010625
                     78,                 1.1056,                0.91121,                 1.1828,                0.85713,                0.85294,                 0.9162,                0.55223,                 1.4406,                  1.332,                 1.4346,              0.0010704,              0.0010704,              0.0010704
                     79,                 1.0328,                0.81583,                  1.051,                0.87793,                 0.8463,                0.91674,                0.54727,                 1.4563,                 1.2331,                 1.4638,              0.0010781,              0.0010781,              0.0010781
                     80,                 1.1016,                0.82727,                 1.1037,                0.87793,                 0.8463,                0.91674,                0.54727,                 1.4563,                 1.2331,                 1.4638,              0.0010857,              0.0010857,              0.0010857
                     81,                 1.0423,                0.87733,                 1.1704,                0.87793,                 0.8463,                0.91674,                0.54727,                 1.4563,                 1.2331,                 1.4638,              0.0010931,              0.0010931,              0.0010931
                     82,                 1.2558,                 1.0009,                 1.1456,                0.84104,                0.94118,                0.92595,                0.51847,                 1.5122,                 1.0683,                 1.5375,              0.0011004,              0.0011004,              0.0011004
                     83,                 1.1769,                0.82343,                 1.0757,                0.84104,                0.94118,                0.92595,                0.51847,                 1.5122,                 1.0683,                 1.5375,              0.0011075,              0.0011075,              0.0011075
                     84,                 1.1179,                0.84833,                  1.113,                0.84104,                0.94118,                0.92595,                0.51847,                 1.5122,                 1.0683,                 1.5375,              0.0011144,              0.0011144,              0.0011144
                     85,                 1.0503,                0.82157,                 1.1151,                0.86415,                0.97059,                0.96365,                0.56789,                 1.4535,                0.94291,                 1.4885,              0.0011212,              0.0011212,              0.0011212
                     86,                 1.0848,                0.82622,                 1.1123,                0.86415,                0.97059,                0.96365,                0.56789,                 1.4535,                0.94291,                 1.4885,              0.0011278,              0.0011278,              0.0011278
                     87,                 1.0512,                 0.9187,                 1.1277,                0.86415,                0.97059,                0.96365,                0.56789,                 1.4535,                0.94291,                 1.4885,              0.0011342,              0.0011342,              0.0011342
                     88,                 1.1339,                0.81328,                 1.1147,                0.90559,                0.94118,                0.95536,                0.60019,                 1.3618,                0.89539,                  1.395,              0.0011405,              0.0011405,              0.0011405
