                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 0.3132,                0.22269,                0.80153,                0.99766,                0.99889,                0.99495,                0.97014,                0.24828,                0.17749,                0.79255,             0.00046465,             0.00046465,             0.00046465
                     70,                0.31503,                0.22363,                0.80098,                0.99795,                0.99906,                0.99497,                0.97105,                0.24507,                 0.1748,                0.79234,             0.00045915,             0.00045915,             0.00045915
                     71,                0.31069,                 0.2214,                0.79883,                0.99774,                0.99888,                0.99498,                0.96915,                 0.2635,                 0.1794,                0.79317,             0.00045365,             0.00045365,             0.00045365
                     72,                0.30764,                0.21936,                0.79739,                0.99856,                0.99903,                0.99498,                 0.9712,                0.24557,                0.17058,                0.79117,             0.00044815,             0.00044815,             0.00044815
                     73,                0.30571,                0.21879,                0.79619,                0.99777,                0.99868,                0.99497,                0.97179,                 0.2422,                0.17247,                0.79106,             0.00044266,             0.00044266,             0.00044266
                     74,                0.30427,                0.21677,                0.79675,                0.99864,                0.99869,                0.99498,                0.97194,                0.24165,                 0.1664,                0.79138,             0.00043716,             0.00043716,             0.00043716
                     75,                0.30471,                0.21782,                0.79757,                0.99828,                0.99911,                0.99495,                0.97195,                0.24065,                0.17146,                0.79169,             0.00043166,             0.00043166,             0.00043166
                     76,                0.30717,                 0.2177,                0.79933,                0.99812,                0.99857,                0.99496,                0.97241,                0.24358,                0.16585,                 0.7896,             0.00042616,             0.00042616,             0.00042616
                     77,                0.30333,                0.21497,                0.79923,                0.99861,                0.99892,                0.99498,                0.97054,                0.24065,                0.16694,                0.79105,             0.00042066,             0.00042066,             0.00042066
                     78,                0.30283,                0.21603,                0.79598,                0.99832,                0.99909,                0.99493,                0.97136,                 0.2397,                0.17007,                0.79312,             0.00041517,             0.00041517,             0.00041517
                     79,                0.30327,                0.21352,                0.79757,                0.99796,                0.99907,                0.99498,                0.97309,                0.24448,                0.16469,                0.79067,             0.00040967,             0.00040967,             0.00040967
                     80,                0.30402,                0.21522,                 0.7976,                0.99824,                0.99878,                0.99499,                0.97314,                0.24291,                0.17517,                0.79098,             0.00040417,             0.00040417,             0.00040417
                     81,                0.30554,                0.21448,                0.79641,                0.99869,                 0.9992,                0.99498,                0.97266,                0.23955,                0.16321,                0.78956,             0.00039867,             0.00039867,             0.00039867
